"","añoLance","NOMBRE_BARCO","catch","catchsd","catchn","catche","catchl","catchr"
"183",2019,"FRIO SUR IX",34,7.14142842854285,4,6.99847125905723,27.0015287409428,40.9984712590572
"184",2019,"FRIO SUR VIII",11,6.36396103067893,2,8.81983793043024,2.18016206956976,19.8198379304302
"185",2019,"FRIO SUR X",12,NA,1,NA,NA,NA
"186",2019,"UNION SUR",103125,1366.46664319796,156,214.429644927845,102910.570355072,103339.429644928
"187",2019,"UNZEN MARU",52033,507.438931568564,185,73.1216547202833,51959.8783452797,52106.1216547203
"188",2020,"CABO DE HORNOS",1600,52.0816043003046,22,21.7631173679806,1578.23688263202,1621.76311736798
"189",2020,"FRIO SUR X",39,10.8742815854658,4,10.65660013263,28.34339986737,49.65660013263
"190",2020,"UNION SUR",11009,502.791985012924,46,145.297292345343,10863.7027076547,11154.2972923453
"191",2020,"UNZEN MARU",19324,173.407692047463,144,28.32273592127,19295.6772640787,19352.3227359213
"192",2021,"CABO DE HORNOS",99,13.2551876637036,5,11.6184707668088,87.3815292331912,110.618470766809
"193",2021,"FRIO SUR IX",2,NA,1,NA,NA,NA
"194",2021,"UNION SUR",1622,81.1848566690916,15,41.0844511679303,1580.91554883207,1663.08445116793
"195",2021,"UNZEN MARU",147,36.7559518989782,3,41.5925108112737,105.407489188726,188.592510811274
