"","añoLance","NOMBRE_BARCO","f1","f2","cpue2","cpue2sd","cpue2n","cpue2e","cpue2l","cpue2r"
"176",2018,"FRIO SUR IX",4.36363636363636,3.22727272718182,1.35211267609443,1.57701362082822,11,0.931938369676482,0.420174306417943,2.28405104577091
"177",2018,"FRIO SUR X",15.3333333333333,3.111111111,4.92857142874745,3.90512384662776,3,4.41898243464464,0.509588994102812,9.34755386339209
"178",2018,"UNION SUR",178.169117647059,3.26789215688235,54.5211130274986,166.121678328649,136,27.9193271053506,26.6017859221479,82.4404401328492
"179",2018,"UNZEN MARU",818.537634408602,2.98924731182796,273.827338129496,423.629568782434,93,86.0979641608583,187.729373968638,359.925302290355
"180",2019,"ANTARTIC ENDEAVOUR",33,10.91666667,3.02290076243576,NA,1,NA,NA,NA
"181",2019,"CABO DE HORNOS",136.454545454545,4.39040404036364,31.0801794550197,50.418424058211,33,17.2020572133397,13.87812224168,48.2822366683594
"182",2019,"DIEGO RAMIREZ",15,3.4166666665,4.39024390265318,18.030040473069,2,24.9879020448058,-20.5976581421526,29.378145947459
"183",2019,"FRIO SUR IX",8.5,4.41666666675,1.92452830185048,1.7257717663473,4,1.69122525378839,0.233303048062091,3.61575355563887
"184",2019,"FRIO SUR VIII",5.5,3.375,1.62962962962963,2.98556196500987,2,4.13770174514011,-2.50807211551048,5.76733137476974
"185",2019,"FRIO SUR X",12,3.333333333,3.60000000036,NA,1,NA,NA,NA
"186",2019,"UNION SUR",661.057692307692,3.87916666664744,170.41229447329,347.566450467486,156,54.5410683338412,115.871226139448,224.953362807131
"187",2019,"UNZEN MARU",281.259459459459,4.16891891890811,67.4658022692187,184.76442820499,185,26.624446575342,40.8413556938767,94.0902488445607
"188",2020,"CABO DE HORNOS",72.7272727272727,6.07803030263636,11.965598903929,9.61763849660989,22,4.01888148832055,7.94671741560842,15.9844803922495
"189",2020,"FRIO SUR X",9.75,3.79166666675,2.57142857137206,2.64032237474178,4,2.58746838103458,-0.0160398096625261,5.15889695240664
"190",2020,"UNION SUR",239.326086956522,3.94420289856522,60.677934962114,215.914769114216,46,62.3952494566096,-1.71731449449558,123.073184418724
"191",2020,"UNZEN MARU",134.194444444444,4.39699074074306,30.5196104237797,49.0438159534553,144,8.01034274443195,22.5092676793477,38.5299531682116
"192",2021,"CABO DE HORNOS",19.8,6.5133333332,3.03991811674596,1.79662152591423,5,1.57477926434892,1.46513885239704,4.61469738109487
"193",2021,"FRIO SUR IX",2,4,0.5,NA,1,NA,NA,NA
"194",2021,"UNION SUR",108.133333333333,4.99999999993333,21.626666666955,18.7996949230733,15,9.51378347796045,12.1128831889946,31.1404501449155
"195",2021,"UNZEN MARU",49,3.41666666666667,14.3414634146341,11.3912692486582,3,12.8901977748022,1.45126563983199,27.2316611894363
