"","añoLance","NOMBRE_BARCO","hook","hooksd","hookn","hooke","hookl","hookr"
"140",2014,"UNION SUR",2.69921875000781,1.34241633800958,128,0.23255749208962,2.46666125791819,2.93177624209743
"141",2014,"UNZEN MARU",3.13349462368065,1.36029937630577,310,0.151426450715089,2.98206817296556,3.28492107439573
"142",2015,"CABO DE HORNOS",3.67857142858333,1.53540015110598,84,0.328344712487512,3.35022671609582,4.00691614107085
"143",2015,"DIEGO RAMIREZ",2.85388349513592,1.28487175002147,206,0.175458439055403,2.67842505608052,3.02934193419132
"144",2015,"FRIO SUR IX",3.04398148147222,1.08942185633467,144,0.177935633532227,2.86604584793999,3.22191711500445
"145",2015,"FRIO SUR VIII",2.38690476185714,1.02198438131301,14,0.535338320183021,1.85156644167412,2.92224308204016
"146",2015,"UNION SUR",2.9216049382963,1.49244394758784,216,0.199030321507786,2.72257461678851,3.12063525980408
"147",2015,"UNZEN MARU",3.42661782663736,1.57671400080379,273,0.187033625138538,3.23958420149882,3.6136514517759
"148",2016,"CABO DE HORNOS",3.62669220944828,1.29369466910083,261,0.156949387761839,3.46974282168644,3.78364159721011
"149",2016,"DIEGO RAMIREZ",3.19180555554583,1.77123891348186,240,0.224088523504742,2.96771703204109,3.41589407905058
"150",2016,"FRIO SUR IX",2.82030456853807,0.964752689850331,197,0.13471965936384,2.68558490917423,2.95502422790191
"151",2016,"FRIO SUR VIII",3.833333333,NA,1,NA,NA,NA
"152",2016,"FRIO SUR X",2.61537753220994,1.12975395905663,181,0.164585918514957,2.45079161369499,2.7799634507249
"153",2016,"UNION SUR",3.46000837520854,1.56015346718501,398,0.153275900240909,3.30673247496763,3.61328427544945
"154",2016,"UNZEN MARU",3.41068759342601,1.37838055679039,446,0.127923342948993,3.28276425047702,3.538610936375
"155",2017,"CABO DE HORNOS",4.06095679012963,1.32191992373752,108,0.249310954548739,3.81164583558089,4.31026774467837
"156",2017,"DIEGO RAMIREZ",3.44085545723009,1.46726514974355,113,0.270531270212963,3.17032418701712,3.71138672744305
"157",2017,"FRIO SUR IX",3.37182539684524,1.16432345349328,84,0.248990108086378,3.12283528875886,3.62081550493162
"158",2017,"FRIO SUR VIII",3.11197916665625,0.719809576677118,64,0.176350105751772,2.93562906090448,3.28832927240802
"159",2017,"FRIO SUR X",2.62347931873723,0.991595719041771,137,0.166043718452452,2.45743560028477,2.78952303718968
"160",2017,"UNION SUR",3.15340831626176,1.79214467347241,489,0.158842504939116,2.99456581132264,3.31225082120087
"161",2017,"UNZEN MARU",3.12808641972016,1.2693453394005,486,0.112852127060279,3.01523429265989,3.24093854678044
"162",2018,"CABO DE HORNOS",3.8851648351978,1.26780029819288,91,0.260482315891443,3.62468251930636,4.14564715108924
"163",2018,"DIEGO RAMIREZ",4.08058252420388,1.31301739897839,103,0.253571219730411,3.82701130447347,4.33415374393429
"164",2018,"FRIO SUR IX",3.42674532935988,0.889087096363693,339,0.094643882814016,3.33210144654587,3.5213892121739
"165",2018,"FRIO SUR VIII",3.00620915035294,0.787555717778917,51,0.216144551207135,2.79006459914581,3.22235370156008
"166",2018,"FRIO SUR X",3.20253772290947,1.23686086545389,243,0.155512678931636,3.04702504397783,3.3580504018411
"167",2018,"UNION SUR",3.36250812216569,1.53828106259439,513,0.13311441933525,3.22939370283044,3.49562254150094
"168",2018,"UNZEN MARU",3.56915708810345,1.45273657634206,261,0.176244149165885,3.39291293893756,3.74540123726933
"169",2019,"CABO DE HORNOS",4.61622222225333,1.34520607321501,75,0.304443200368546,4.31177902188479,4.92066542262188
"170",2019,"DIEGO RAMIREZ",4.97222222217778,2.07216704503469,45,0.60543370760429,4.36678851457349,5.57765592978207
"171",2019,"FRIO SUR IX",3.80923694781928,0.922609167691612,83,0.19848459733262,3.61075235048666,4.0077215451519
"172",2019,"FRIO SUR VIII",4.24047619042857,1.23490395986291,14,0.646870366659639,3.59360582376893,4.88734655708821
"173",2019,"FRIO SUR X",3.54918032780328,1.12076125843651,61,0.281252430198187,3.26792789760509,3.83043275800147
"174",2019,"UNION SUR",3.51736881004435,1.50650814459769,451,0.139037293116478,3.37833151692787,3.65640610316082
"175",2019,"UNZEN MARU",3.99450549452381,1.52585972023001,273,0.181001167479966,3.81350432704384,4.17550666200377
"176",2020,"CABO DE HORNOS",5.70963855416867,1.86196074997995,83,0.400571057226308,5.30906749694237,6.11020961139498
"177",2020,"FRIO SUR IX",3.49193548390323,1.11290141631613,62,0.277018607197796,3.21491687670543,3.76895409110102
"178",2020,"FRIO SUR X",4.02528089886517,1.34280046291554,89,0.278974539899725,3.74630635896544,4.30425543876489
"179",2020,"UNION SUR",3.69641744545794,1.63720825818352,107,0.310213096473979,3.38620434898397,4.00663054193192
"180",2020,"UNZEN MARU",4.28946188340359,1.87708837561131,223,0.246365777260287,4.0430961061433,4.53582766066387
"181",2021,"CABO DE HORNOS",6.21241496590816,1.95573335656736,98,0.387208334039276,5.82520663186889,6.59962329994744
"182",2021,"FRIO SUR IX",3.85256410261538,0.361891005224,13,0.196722576487769,3.65584152612762,4.04928667910315
"183",2021,"FRIO SUR X",3.6805555555,0.784248873946936,6,0.627518262683391,3.05303729281661,4.30807381818339
"184",2021,"UNION SUR",4.52509363293258,1.94372716072446,89,0.403820526823732,4.12127310610885,4.92891415975632
"185",2021,"UNZEN MARU",3.20370370366667,1.05699567585718,36,0.345278909415774,2.85842479425089,3.54898261308244
