"","añoLance","NOMBRE_BARCO","catch","catchsd","catchn","catche","catchl","catchr"
"91",2007,"UNZEN MARU",153675,1651.9437947786,198,230.096897449475,153444.903102551,153905.096897449
"92",2008,"CABO DE HORNOS",367437,3716.65650551675,126,648.955987567498,366788.044012433,368085.955987567
"93",2008,"DIEGO RAMIREZ",501211,4614.53779291418,135,778.411805657717,500432.588194342,501989.411805658
"94",2008,"FRIO SUR IX",69235,615.907374171985,159,95.7337195076614,69139.2662804923,69330.7337195077
"95",2008,"FRIO SUR VIII",46795,1524.16984481619,61,382.48687636416,46412.5131236358,47177.4868763642
"96",2008,"FRIO SUR X",46225,569.728705340479,147,92.099553608139,46132.9004463919,46317.0995536081
"97",2008,"OCEAN DAWN",144748,1323.77092711799,249,164.42250341857,144583.577496581,144912.422503419
"98",2008,"UNION SUR",192450,1613.47514991306,145,262.619137614009,192187.380862386,192712.619137614
"99",2008,"UNZEN MARU",411532,2827.74384645834,258,345.047038308523,411186.952961691,411877.047038309
"100",2009,"CABO DE HORNOS",591698,3930.30053152148,220,519.352839841365,591178.647160159,592217.352839841
"101",2009,"DIEGO RAMIREZ",563929,4482.31662967731,189,639.027753987243,563289.972246013,564568.027753987
"102",2009,"FRIO SUR IX",93180,817.13040848913,201,112.964357052948,93067.0356429471,93292.9643570529
"103",2009,"FRIO SUR VIII",4305,374.421523516914,12,211.845027271403,4093.1549727286,4516.8450272714
"104",2009,"FRIO SUR X",108560,2743.43631197854,113,505.829031894913,108054.170968105,109065.829031895
"105",2009,"OCEAN DAWN",585281,1603.28823400997,502,140.251604349997,585140.74839565,585421.25160435
"106",2009,"UNION SUR",111071,1044.91340802096,82,226.162953363387,110844.837046637,111297.162953363
"107",2009,"UNZEN MARU",583145,3582.86050189999,269,428.155818507615,582716.844181492,583573.155818508
"108",2010,"CABO DE HORNOS",345307,3181.51222970654,135,536.679249490769,344770.320750509,345843.679249491
"109",2010,"DIEGO RAMIREZ",174243,2239.68999787509,116,407.574502321087,173835.425497679,174650.574502321
"110",2010,"FRIO SUR IX",114050,1043.29984074028,231,134.53994387053,113915.460056129,114184.539943871
"111",2010,"FRIO SUR VIII",140,42.4264068711929,2,58.7989195362016,81.2010804637984,198.798919536202
"112",2010,"FRIO SUR X",63704,823.313407235917,187,118.002844290853,63585.9971557091,63822.0028442909
"113",2010,"OCEAN DAWN",355433,1769.18086605884,326,192.048767671909,355240.951232328,355625.048767672
"114",2010,"UNION SUR",20670,1149.8472585299,27,433.716918039675,20236.2830819603,21103.7169180397
"115",2010,"UNZEN MARU",778998,3810.64337169549,280,446.341616043805,778551.658383956,779444.341616044
"116",2011,"CABO DE HORNOS",596985,3353.22144427421,210,453.524422011388,596531.475577989,597438.524422011
